law,link,score
"THE ODISHA MUHAMMEDAN MARRIAGES AND DIVORCES REGISTRATION ACT, 1949",https://indiankanoon.org/doc/102905098/,94.81481481481481
"THE HARYANA COMPULSORY REGISTRATION OF MARRIAGES act 2008",https://indiankanoon.org/doc/128318400/,93.20388349514563
"The Foreign Marriage Act, 1969",https://indiankanoon.org/doc/660591/,110.9090909090909
"The Tripura Recording of Marriage Act, 2003",,53.191489361702125
"The Hindu Marriage Act, 1955",https://indiankanoon.org/doc/590166/,110.19607843137254
"The Parsi Marriage and Divorce Act, 1936",https://indiankanoon.org/doc/122564/,113.33333333333333
"The Uttarakhand Compulsory Registration of Marriage Act,",https://indiankanoon.org/doc/95707479/,91.2621359223301
"The Dissolution of Muslim Marriages Act, 1939",https://indiankanoon.org/doc/1458498/,114.11764705882354
"The Prohibition of Child Marriage Act, 2006",https://indiankanoon.org/doc/790355/,113.82716049382717
"THE SPECIAL MARRIAGE ACT, 1954",https://indiankanoon.org/doc/4234/,110.9090909090909
"The Special Marriage Act, 1954",https://indiankanoon.org/doc/4234/,110.9090909090909
"The Himachal Pradesh Registration  of Marriages Act, 1996",,94.0
"THE PROHIBITION OF CHILD MARRIAGE ACT, 2006",https://indiankanoon.org/doc/790355/,113.82716049382717
"The Special Marriage Act, 1954 (Extension to Nagaland) Act, 2002",,40.84507042253521
"THE KARNATAKA MARRIAGES (REGISTRATION AND MISCELLANEOUS PROVISIONS) ACT, 1976.",https://indiankanoon.org/doc/57218660/,79.22077922077922
"The Manipur Complusory Registration Marriage Act, 2008",,-1.0
"THE HINDU MARRIAGE ACT, 1955",https://indiankanoon.org/doc/590166/,110.19607843137254
"The Andhra Pradesh Compulsory Registration of Marriages Act, 2002.",https://indiankanoon.org/doc/97333519/,93.75
"The Indian Christian Marriage Act, 1872",https://indiankanoon.org/doc/1166543/,113.15068493150685
"Jammu and Kashmir Muslims Marriages Registration Act, 1981",https://indiankanoon.org/doc/160346572/,117.43589743589743
"The Indian Christian Marriage (Extension to Transferred Territory) Act, 1995",https://indiankanoon.org/doc/164955072/,-1.0
"The Jharkhand Compulsory Registration of Marriages Act, 2017",https://indiankanoon.org/doc/27107406/,-1.0
"The Meghalaya Compulsory Registration of Marriage Act, 2012 (Act No. 13 of 2012)",https://indiankanoon.org/doc/173338758/,-1.0
"The M.P. Compulsory Registration of Marriages Rules, 2008",https://indiankanoon.org/doc/72126757/,-1.0
"The Births, Deaths and Marriages Registration Act, 1886",https://indiankanoon.org/doc/601293/,106.5979381443299
"The Rajastahan Compulsory Registration of Marriage Act, 2009",https://indiankanoon.org/doc/119327399/,-1.0
"The Mizo Marriage, Divorce and Inheritance of Property Act, 2014",https://indiankanoon.org/doc/10574831/,-1.0
"Arunachal Pradesh Recording of Marriage Act 2008",https://indiankanoon.org/doc/159500566/,-1.0
"The Telangana Compulsory Registration of Marriages Act, 2002.",https://indiankanoon.org/doc/61693782/,-1.0
"Prohibition of Child marriage act",https://indiankanoon.org/doc/790355/,-1.0
"The Maharashtra Regulation of Marriage Bureaus and Registration of Marriages Act, 1998",https://indiankanoon.org/doc/83443283/,-1.0
"The Chhattisgarh Prohibition of Child Marriage Rule, 2007",https://indiankanoon.org/doc/26143582/,-1.0
"The Gujarat Registration of Marriages Act, 2006",https://indiankanoon.org/doc/14734556/,-1.0
"The High Court of Jharkhand Hindu Marriage Rules, 2017",https://indiankanoon.org/doc/46923250/,-1.0
"The Muslim Women (Protection of Rights on Marriage) Act, 2019.",https://indiankanoon.org/doc/159392747/,-1.0
"The Rajasthan Prohibition of Child Marriage Rules, 2007",,-1.0
"The Arya Marriage Validation Act, 1937",https://indiankanoon.org/doc/385841/,-1.0
The Meghalaya Compulsory Registration of Marriages Rules 2015,,-1.0
"The Tripura Recording of Marriage Rules, 2006",,-1.0
"the Uttar Pradesh Hindu  Marriage Registration Rules, 1973",,-1.0
"The Uttarakhand Compulsory Marriage Registration Rules,2012",,-1.0
Child Marriage Prohibition Act Nodal Department,,-1.0
Haryana Prohibition of child Marriage Rules 2011,,-1.0
"The Foreign Marriage Rules, 1970 19.08.1970",https://indiankanoon.org/doc/66170671/,-1.0
