law,link,score
"The Parsi Marriage and Divorce Act, 1936",https://indiankanoon.org/doc/122564/,113.33333333333333
"The Anand Marriage Act, 1909",,114.73684210526315
"The Hindu Marriage Act, 1955",https://indiankanoon.org/doc/590166/,110.19607843137254
"THE ODISHA MUHAMMEDAN MARRIAGES AND DIVORCES REGISTRATION ACT, 1949",,94.81481481481481
"The Uttarakhand Compulsory Registration of Marriage Act,",,91.2621359223301
THE HARYANA COMPULSORY REGISTRATION OF MARRIAGES act 2008(6 of 2008),,93.20388349514563
"The Prohibition of Child Marriage Act, 2006",https://indiankanoon.org/doc/790355/,113.82716049382717
"The Tripura Recording of Marriage Act, 2003",,53.191489361702125
"The Dissolution of Muslim Marriages Act, 1939",https://indiankanoon.org/doc/1458498/,114.11764705882354
"The Foreign Marriage Act, 1969",https://indiankanoon.org/doc/660591/,110.9090909090909
"THE SPECIAL MARRIAGE ACT, 1954",https://indiankanoon.org/doc/4234/,110.9090909090909
"The Special Marriage Act, 1954",https://indiankanoon.org/doc/4234/,110.9090909090909
"The Special Marriage Act, 1954 (Extension to Nagaland) Act, 2002",,40.84507042253521
"The Manipur Complusory Registration Marriage Act, 2008",,-1.0
"THE PROHIBITION OF CHILD MARRIAGE ACT, 2006",https://indiankanoon.org/doc/790355/,113.82716049382717
"The Himachal Pradesh Registration  of Marriages Act, 1996",,94.0
"THE KARNATAKA MARRIAGES (REGISTRATION AND MISCELLANEOUS PROVISIONS) ACT, 1976.",,79.22077922077922
"THE HINDU MARRIAGE ACT, 1955",https://indiankanoon.org/doc/590166/,110.19607843137254
"The Telangana Hindu Widows Marriage Act, 1347 Fasli.",,-1.0
"The Tamil Nadu Christian Marriages Validation Act, 1952",,117.29729729729729
"The Andhra Pradesh Compulsory Registration of Marriages Act, 2002.",,93.75
"The Telangana Registrar General of Births, Deaths and Marriages Act, 1953.",,93.7062937062937
"Marwar Marriage Fund Administration Act, 1961",,91.66666666666667
"The Indian Christian Marriage Act, 1872",https://indiankanoon.org/doc/1166543/,113.15068493150685
"The Births, Deaths and Marriages Registration Act, 1886",https://indiankanoon.org/doc/601293/,106.5979381443299
"The Indian Christian Marriage (Extension to Transferred Territory) Act, 1995",,90.3225806451613
"Jammu and Kashmir Muslims Marriages Registration Act, 1981",,117.43589743589743
Tripura Prohibition of Child Marriage Act 2006,,42.592592592592595
"The Mizoram Compulsory Registration of Marriages (Amendment) Act, 2011",,40.42553191489362
"The Meghalaya Compulsory Registration of Marriage Act, 2012 (Act No. 13 of 2012)",,114.73684210526315
Arunachal Pradesh Recording of Marriage Act 2008,,100.0
"THE ANAND MARRIAGE ACT, 1909",,114.73684210526315
"THE JAMMU AND KASHMIR MUSLIM MARRIAGES REGISTRATION ACT, 1981",,93.33333333333333
"The Arya Marriage Validation Act, 1937",,116.1038961038961
"The Rajastahan Compulsory Registration of Marriage Act, 2009",,-1.0
Madhya-Pradesh-Marriage-Registration-Act-2008,,-1.0
"Hindu Marriage Act, 1955",https://indiankanoon.org/doc/590166/,108.37209302325581
"The Jharkhand Compulsory Registration of Marriages Act, 2017",,117.52066115702479
"The Gujarat Registration of Marriages Act, 2006",,116.84210526315789
"The Rajasthan Prohibition of Child Marriage Rules, 2007",,93.45794392523365
"The Tripura Prohibition of Child Marriage Rules,2017",,40.32258064516129
Prohibition of Child marriage act,https://indiankanoon.org/doc/790355/,120.0
"The Muslim Women (Protection of Rights on Marriage) Act, 2019.",,77.77777777777777
"The Maharashtra Regulation of Marriage Bureaus and Registration of Marriages Act, 1998",,118.20359281437126
"The Telangana Compulsory Registration of Marriages Act, 2002.",,93.22033898305085
"The Chhattisgarh Prohibition of Child Marriage Rule, 2007",,-1.0
"The Mizo Marriage, Divorce and Inheritance of Property Act, 2014",,93.54838709677419
"Anand Marriage Registration Rule, 2016",,-1.0
"The High Court of Jharkhand Hindu Marriage Rules, 2017",,-1.0
"Lakshadweep Anand Marriage Registration Rules, 2017",,-1.0
"“Puducherry Prohibition of Child Marriage Rules, 2009",,-1.0
"The Foreign Marriage Rules, 1970 19.08.1970",,-1.0
"Jharkhand Child Marriage Prohibition Rules, 2015",,-1.0
RAJASTHAN PROHIBITION OF CHILD MARRIAGE RULES,,-1.0
"Chandigarh  Prohibition of Child Marriage Rules, 2015.",,-1.0
"the Uttar Pradesh Hindu  Marriage Registration Rules, 1973",,-1.0
"the Uttar Pradesh  Marriage Registration Rules, 2017",,-1.0
"Andaman and Nicobar Islands Hindu Marriage Registration Rules, 1958",,-1.0
The Meghalaya Compulsory Registration of Marriages Rules 2015,,-1.0
"The Tripura Recording of Marriage Rules, 2006",,-1.0
Haryana Prohibition of child Marriage Rules 2011,,-1.0
"The Uttarakhand Compulsory Marriage Registration Rules,2012",,-1.0
"Maharashtra Prohibition of Child Marriage  Rules, 2022.",,-1.0
Rajasthan Anand Marriage Registration Rules 2019,,45.45454545454545
"THE TRIPURA  ANAND MARRIAGE REGISTRATION RULES, 2023",,-1.0
Special Marriage and Divorce Himachal Pradesh Rules 1982,,44.067796610169495
"Furnishing of advance information in respect of functions organised in Banquet Halls, Farm houses, Marriage/Party Halls, Hotels and Open Ground etc.",,-1.0
Child Marriage Prohibition Act Nodal Department,,-1.0
Notification of Child Marriage Prohibition Officers,,-1.0
"Extension of the Haryana Compulsory Registration of Marriages Act, 2008 to UT Chandigarh Dt. 04.11.2009",,-1.0
Notification of Officers as Child Marriage Prohibition Officers,,-1.0
"Notification to tackle the pollution problems which occurs due to firecrackers during Diwali (Deepabali) and all other festivals, of any religion including Christmas and New Year eve and other occasions like marriages etc. for effective implementation in the State of Tripura",,-1.0
"Notification regarding The Prohibition of Child Marriage Act,2006 (Appointment of Prohibition Officer)",,-1.0
"the details of programmes/functions, to be organised in the Banquet Halls, Farm Houses, Marriage/Party Halls, Hotels, Open Ground etc.",,-1.0
"Effective date for furnishing of advance information in respect of functions organised in Banquet Halls, Farm Houses, Marriage/Party Halls, Hotels and Open Ground etc.",,-1.0
"Furnishing of advance information in respect of functions organised in Banquet Halls, Farm houses, Marriage/Party Halls, Hotels and Open Ground etc",,-1.0
