Law Name,Href
THE HARYANA COMPULSORY REGISTRATION OF MARRIAGES act 2008(6 of 2008),/ViewSelectedActDetailsServlet?act_name=THE HARYANA COMPULSORY REGISTRATION OF MARRIAGES act 2008(6 of 2008)&handleid=123456789/1362
"THE ODISHA MUHAMMEDAN MARRIAGES AND DIVORCES REGISTRATION ACT, 1949","/ViewSelectedActDetailsServlet?act_name=THE ODISHA MUHAMMEDAN MARRIAGES AND DIVORCES REGISTRATION ACT, 1949&handleid=123456789/1362"
"The Parsi Marriage and Divorce Act, 1936","/ViewSelectedActDetailsServlet?act_name=The Parsi Marriage and Divorce Act, 1936&handleid=123456789/1362"
"The Foreign Marriage Act, 1969","/ViewSelectedActDetailsServlet?act_name=The Foreign Marriage Act, 1969&handleid=123456789/1362"
"The Anand Marriage Act, 1909","/ViewSelectedActDetailsServlet?act_name=The Anand Marriage Act, 1909&handleid=123456789/1362"
"The Tripura Recording of Marriage Act, 2003","/ViewSelectedActDetailsServlet?act_name=The Tripura Recording of Marriage Act, 2003&handleid=123456789/1362"
"The Dissolution of Muslim Marriages Act, 1939","/ViewSelectedActDetailsServlet?act_name=The Dissolution of Muslim Marriages Act, 1939&handleid=123456789/1362"
"The Hindu Marriage Act, 1955","/ViewSelectedActDetailsServlet?act_name=The Hindu Marriage Act, 1955&handleid=123456789/1362"
"The Prohibition of Child Marriage Act, 2006","/ViewSelectedActDetailsServlet?act_name=The Prohibition of Child Marriage Act, 2006&handleid=123456789/1362"
"The Uttarakhand Compulsory Registration of Marriage Act,","/ViewSelectedActDetailsServlet?act_name=The Uttarakhand Compulsory Registration of Marriage Act,&handleid=123456789/1362"
"THE SPECIAL MARRIAGE ACT, 1954","/ViewSelectedActDetailsServlet?act_name=THE SPECIAL MARRIAGE ACT, 1954&handleid=123456789/1362"
"The Special Marriage Act, 1954","/ViewSelectedActDetailsServlet?act_name=The Special Marriage Act, 1954&handleid=123456789/1362"
"The Special Marriage Act, 1954 (Extension to Nagaland) Act, 2002","/ViewSelectedActDetailsServlet?act_name=The Special Marriage Act, 1954 (Extension to Nagaland) Act, 2002&handleid=123456789/1362"
"The Himachal Pradesh Registration  of Marriages Act, 1996","/ViewSelectedActDetailsServlet?act_name=The Himachal Pradesh Registration  of Marriages Act, 1996&handleid=123456789/1362"
"THE PROHIBITION OF CHILD MARRIAGE ACT, 2006","/ViewSelectedActDetailsServlet?act_name=THE PROHIBITION OF CHILD MARRIAGE ACT, 2006&handleid=123456789/1362"
"THE KARNATAKA MARRIAGES (REGISTRATION AND MISCELLANEOUS PROVISIONS) ACT, 1976.","/ViewSelectedActDetailsServlet?act_name=THE KARNATAKA MARRIAGES (REGISTRATION AND MISCELLANEOUS PROVISIONS) ACT, 1976.&handleid=123456789/1362"
"The Telangana Hindu Widows Marriage Act, 1347 Fasli.","/ViewSelectedActDetailsServlet?act_name=The Telangana Hindu Widows Marriage Act, 1347 Fasli.&handleid=123456789/1362"
"The Manipur Complusory Registration Marriage Act, 2008","/ViewSelectedActDetailsServlet?act_name=The Manipur Complusory Registration Marriage Act, 2008&handleid=123456789/1362"
"THE HINDU MARRIAGE ACT, 1955","/ViewSelectedActDetailsServlet?act_name=THE HINDU MARRIAGE ACT, 1955&handleid=123456789/1362"
"The Tamil Nadu Christian Marriages Validation Act, 1952","/ViewSelectedActDetailsServlet?act_name=The Tamil Nadu Christian Marriages Validation Act, 1952&handleid=123456789/1362"
"The Telangana Registrar General of Births, Deaths and Marriages Act, 1953.","/ViewSelectedActDetailsServlet?act_name=The Telangana Registrar General of Births, Deaths and Marriages Act, 1953.&handleid=123456789/1362"
"The Andhra Pradesh Compulsory Registration of Marriages Act, 2002.","/ViewSelectedActDetailsServlet?act_name=The Andhra Pradesh Compulsory Registration of Marriages Act, 2002.&handleid=123456789/1362"
"The Indian Christian Marriage Act, 1872","/ViewSelectedActDetailsServlet?act_name=The Indian Christian Marriage Act, 1872&handleid=123456789/1362"
Madhya-Pradesh-Marriage-Registration-Act-2008,/ViewSelectedActDetailsServlet?act_name=Madhya-Pradesh-Marriage-Registration-Act-2008&handleid=123456789/1362
"Marwar Marriage Fund Administration Act, 1961","/ViewSelectedActDetailsServlet?act_name=Marwar Marriage Fund Administration Act, 1961&handleid=123456789/1362"
"Jammu and Kashmir Muslims Marriages Registration Act, 1981","/ViewSelectedActDetailsServlet?act_name=Jammu and Kashmir Muslims Marriages Registration Act, 1981&handleid=123456789/1362"
"The Births, Deaths and Marriages Registration Act, 1886","/ViewSelectedActDetailsServlet?act_name=The Births, Deaths and Marriages Registration Act, 1886&handleid=123456789/1362"
"The Indian Christian Marriage (Extension to Transferred Territory) Act, 1995","/ViewSelectedActDetailsServlet?act_name=The Indian Christian Marriage (Extension to Transferred Territory) Act, 1995&handleid=123456789/1362"
Tripura Prohibition of Child Marriage Act 2006,/ViewSelectedActDetailsServlet?act_name=Tripura Prohibition of Child Marriage Act 2006&handleid=123456789/1362
"The Mizoram Compulsory Registration of Marriages (Amendment) Act, 2011","/ViewSelectedActDetailsServlet?act_name=The Mizoram Compulsory Registration of Marriages (Amendment) Act, 2011&handleid=123456789/1362"
"THE JAMMU AND KASHMIR MUSLIM MARRIAGES REGISTRATION ACT, 1981","/ViewSelectedActDetailsServlet?act_name=THE JAMMU AND KASHMIR MUSLIM MARRIAGES REGISTRATION ACT, 1981&handleid=123456789/1362"
Arunachal Pradesh Recording of Marriage Act 2008,/ViewSelectedActDetailsServlet?act_name=Arunachal Pradesh Recording of Marriage Act 2008&handleid=123456789/1362
"The Meghalaya Compulsory Registration of Marriage Act, 2012 (Act No. 13 of 2012)","/ViewSelectedActDetailsServlet?act_name=The Meghalaya Compulsory Registration of Marriage Act, 2012 (Act No. 13 of 2012)&handleid=123456789/1362"
"The Jharkhand Compulsory Registration of Marriages Act, 2017","/ViewSelectedActDetailsServlet?act_name=The Jharkhand Compulsory Registration of Marriages Act, 2017&handleid=123456789/1362"
"Hindu Marriage Act, 1955","/ViewSelectedActDetailsServlet?act_name=Hindu Marriage Act, 1955&handleid=123456789/1362"
"The Rajastahan Compulsory Registration of Marriage Act, 2009","/ViewSelectedActDetailsServlet?act_name=The Rajastahan Compulsory Registration of Marriage Act, 2009&handleid=123456789/1362"
"The Arya Marriage Validation Act, 1937","/ViewSelectedActDetailsServlet?act_name=The Arya Marriage Validation Act, 1937&handleid=123456789/1362"
"THE ANAND MARRIAGE ACT, 1909","/ViewSelectedActDetailsServlet?act_name=THE ANAND MARRIAGE ACT, 1909&handleid=123456789/1362"
"The Gujarat Registration of Marriages Act, 2006","/ViewSelectedActDetailsServlet?act_name=The Gujarat Registration of Marriages Act, 2006&handleid=123456789/1362"
"The Mizo Marriage, Divorce and Inheritance of Property Act, 2014","/ViewSelectedActDetailsServlet?act_name=The Mizo Marriage, Divorce and Inheritance of Property Act, 2014&handleid=123456789/1362"
"The Muslim Women (Protection of Rights on Marriage) Act, 2019.","/ViewSelectedActDetailsServlet?act_name=The Muslim Women (Protection of Rights on Marriage) Act, 2019.&handleid=123456789/1362"
"The Telangana Compulsory Registration of Marriages Act, 2002.","/ViewSelectedActDetailsServlet?act_name=The Telangana Compulsory Registration of Marriages Act, 2002.&handleid=123456789/1362"
Prohibition of Child marriage act,/ViewSelectedActDetailsServlet?act_name=Prohibition of Child marriage act&handleid=123456789/1362
"The Maharashtra Regulation of Marriage Bureaus and Registration of Marriages Act, 1998","/ViewSelectedActDetailsServlet?act_name=The Maharashtra Regulation of Marriage Bureaus and Registration of Marriages Act, 1998&handleid=123456789/1362"
